customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,labels:LABEL
AD754,开发区世创信息有限公司数字科技,姜玉英,采购总监,山西省璐市朝阳钱路q座 737450,马鞍山市,河南省,437694,中国,15073977886,,Customer
AQ661,双敏电子科技有限公司区块链技术,李秀云,CEO,福建省文县南长窦街j座 706008,大冶县,浙江省,143355,中国,18626386964,,Customer
CH664,彩虹网络有限公司大数据分析,张建军,CEO,重庆市银川市高港叶街H座 106706,建平县,浙江省,746840,中国,13783971816,,Customer
GB963,双敏电子传媒有限公司虚拟现实,李磊,采购经理,广东省石家庄县牧野尹路I座 755651,兴城市,西藏自治区,626194,中国,18216965036,,Customer
HR018,联通时科信息有限公司云计算,张辉,总经理,湖南省宇县大东赵街S座 887738,台北县,内蒙古自治区,141143,中国,18829337939,,Customer
IE491,太极科技有限公司生物科技,杨伟,总经理,贵州省澳门市大兴关岭路W座 266944,洁县,台湾省,103464,中国,13054254260,15782281484.0,Customer
IS953,兰金电子传媒有限公司金融科技,王桂珍,采购经理,山西省永安县六枝特石家庄街B座 159880,石家庄市,台湾省,807271,中国,15374231708,,Customer
KS931,济南亿次元信息有限公司虚拟现实,刘霞,总经理,海南省兰州市蓟州柳州街w座 578970,磊县,四川省,492651,中国,13398223996,,Customer
LB133,国讯信息有限公司人工智能,马冬梅,总经理,辽宁省红霞市西夏郑街f座 901816,洁县,台湾省,392980,中国,18030673854,,Customer
NU707,鸿睿思博信息有限公司区块链技术,欧婷,CTO,宁夏回族自治区英县南溪刘街e座 150352,台北县,台湾省,148509,中国,13675539185,18958511587.0,Customer
OF968,七喜网络有限公司金融科技,孙倩,技术总监,天津市红县孝南白路v座 172162,六盘水市,福建省,498500,中国,15695900379,15607675139.0,Customer
ON539,精芯网络有限公司移动应用开发,黎倩,运营总监,内蒙古自治区佳市徐汇彭路C座 710374,辛集市,四川省,468214,中国,15938070321,15281253659.0,Customer
OZ939,兰金电子网络有限公司生物科技,陈玉华,CTO,福建省丽娟市华龙惠州街E座 174051,长春市,云南省,101847,中国,18077936894,15222376833.0,Customer
PC981,菊风公司传媒有限公司移动应用开发,尹丽,运营总监,江苏省西宁市吉区王路B座 188681,乌鲁木齐县,浙江省,540465,中国,13285619121,,Customer
PK763,迪摩网络有限公司虚拟现实,张兰英,采购经理,海南省丹市翔安卢路u座 282145,敏市,河北省,269641,中国,15314432697,13844406219.0,Customer
QF269,襄樊地球村传媒有限公司信息技术,张凯,CTO,香港特别行政区秀云县龙潭六安路I座 465367,玉兰县,云南省,464836,中国,15757747105,14583601666.0,Customer
TB272,易动力信息有限公司网络安全,萧文,总经理,安徽省鑫县安次沈路E座 282516,齐齐哈尔市,内蒙古自治区,941241,中国,18204918509,13367432384.0,Customer
TT217,巨奥传媒有限公司区块链技术,朱丹丹,CTO,台湾省东莞市长寿关岭街t座 985141,宁德县,宁夏回族自治区,952674,中国,15195907921,13312224339.0,Customer
XT154,巨奥科技有限公司人工智能,傅丽,运营总监,广东省成都县兴山陈街Z座 905955,桂兰市,甘肃省,266156,中国,13571599592,,Customer
YX989,华远软件信息有限公司物联网,张浩,项目经理,广西壮族自治区春梅县花溪广州路a座 486942,萍县,宁夏回族自治区,184395,中国,15163820993,14784782308.0,Customer
