orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
3,2023-03-26 07:58:18,2023-04-09 07:58:18,2023-03-30 07:58:18,135.4,易动力信息有限公司网络安全,安徽省鑫县安次沈路E座 282516,齐齐哈尔市,内蒙古自治区,941241,中国,易动力信息有限公司网络安全,赵,英,德邦物流,Order
5,2024-03-12 15:26:10,2024-03-22 15:26:10,,260.37,巨奥科技有限公司人工智能,广东省成都县兴山陈街Z座 905955,桂兰市,甘肃省,266156,中国,巨奥科技有限公司人工智能,赵,英,天天快递,Order
7,2024-10-30 04:43:03,2024-11-05 04:43:03,2024-11-04 04:43:03,180.64,鸿睿思博信息有限公司区块链技术,宁夏回族自治区英县南溪刘街e座 150352,台北县,台湾省,148509,中国,鸿睿思博信息有限公司区块链技术,赵,英,邮政EMS,Order
14,2024-03-30 03:19:15,2024-04-02 03:19:15,,126.28,襄樊地球村传媒有限公司信息技术,香港特别行政区秀云县龙潭六安路I座 465367,玉兰县,云南省,464836,中国,襄樊地球村传媒有限公司信息技术,赵,英,京东物流,Order
15,2024-02-23 00:49:31,2024-03-04 00:49:31,2024-02-26 00:49:31,209.31,联通时科信息有限公司云计算,湖南省宇县大东赵街S座 887738,台北县,内蒙古自治区,141143,中国,联通时科信息有限公司云计算,赵,英,邮政EMS,Order
20,2023-11-17 18:51:49,2023-11-24 18:51:49,2023-11-22 18:51:49,171.28,双敏电子传媒有限公司虚拟现实,广东省石家庄县牧野尹路I座 755651,兴城市,西藏自治区,626194,中国,双敏电子传媒有限公司虚拟现实,赵,英,申通快递,Order
23,2023-04-25 00:44:03,2023-05-01 00:44:03,2023-04-29 00:44:03,216.27,迪摩网络有限公司虚拟现实,海南省丹市翔安卢路u座 282145,敏市,河北省,269641,中国,迪摩网络有限公司虚拟现实,赵,英,韵达快递,Order
25,2024-12-05 17:53:13,2024-12-14 17:53:13,2024-12-10 17:53:13,387.13,开发区世创信息有限公司数字科技,山西省璐市朝阳钱路q座 737450,马鞍山市,河南省,437694,中国,开发区世创信息有限公司数字科技,赵,英,申通快递,Order
28,2024-01-27 06:59:28,2024-02-04 06:59:28,2024-01-30 06:59:28,275.76,迪摩网络有限公司虚拟现实,海南省丹市翔安卢路u座 282145,敏市,河北省,269641,中国,迪摩网络有限公司虚拟现实,赵,英,德邦物流,Order
29,2024-09-09 07:48:02,2024-09-22 07:48:02,2024-09-12 07:48:02,239.38,迪摩网络有限公司虚拟现实,海南省丹市翔安卢路u座 282145,敏市,河北省,269641,中国,迪摩网络有限公司虚拟现实,赵,英,顺丰速运,Order
31,2024-07-26 19:05:55,2024-08-07 19:05:55,2024-07-31 19:05:55,208.44,鸿睿思博信息有限公司区块链技术,宁夏回族自治区英县南溪刘街e座 150352,台北县,台湾省,148509,中国,鸿睿思博信息有限公司区块链技术,赵,英,百世快递,Order
35,2023-07-26 13:11:44,2023-07-31 13:11:44,2023-07-30 13:11:44,195.82,开发区世创信息有限公司数字科技,山西省璐市朝阳钱路q座 737450,马鞍山市,河南省,437694,中国,开发区世创信息有限公司数字科技,赵,英,申通快递,Order
41,2024-06-12 02:42:45,2024-06-21 02:42:45,2024-06-15 02:42:45,421.9,兰金电子传媒有限公司金融科技,山西省永安县六枝特石家庄街B座 159880,石家庄市,台湾省,807271,中国,兰金电子传媒有限公司金融科技,赵,英,德邦物流,Order
52,2023-07-29 11:11:43,2023-08-11 11:11:43,2023-07-30 11:11:43,349.51,双敏电子科技有限公司区块链技术,福建省文县南长窦街j座 706008,大冶县,浙江省,143355,中国,双敏电子科技有限公司区块链技术,赵,英,邮政EMS,Order
61,2023-06-13 03:03:37,2023-06-27 03:03:37,2023-06-14 03:03:37,459.82,迪摩网络有限公司虚拟现实,海南省丹市翔安卢路u座 282145,敏市,河北省,269641,中国,迪摩网络有限公司虚拟现实,赵,英,邮政EMS,Order
64,2024-02-21 01:39:07,2024-03-02 01:39:07,2024-02-24 01:39:07,88.71,双敏电子科技有限公司区块链技术,福建省文县南长窦街j座 706008,大冶县,浙江省,143355,中国,双敏电子科技有限公司区块链技术,赵,英,邮政EMS,Order
68,2024-05-25 13:26:00,2024-05-31 13:26:00,2024-05-26 13:26:00,292.79,易动力信息有限公司网络安全,安徽省鑫县安次沈路E座 282516,齐齐哈尔市,内蒙古自治区,941241,中国,易动力信息有限公司网络安全,赵,英,百世快递,Order
69,2024-01-06 17:17:15,2024-01-20 17:17:15,2024-01-07 17:17:15,127.76,菊风公司传媒有限公司移动应用开发,江苏省西宁市吉区王路B座 188681,乌鲁木齐县,浙江省,540465,中国,菊风公司传媒有限公司移动应用开发,赵,英,申通快递,Order
70,2024-08-30 00:46:06,2024-09-13 00:46:06,2024-08-31 00:46:06,199.18,易动力信息有限公司网络安全,安徽省鑫县安次沈路E座 282516,齐齐哈尔市,内蒙古自治区,941241,中国,易动力信息有限公司网络安全,赵,英,中通快递,Order
74,2024-02-03 04:21:21,2024-02-12 04:21:21,2024-02-05 04:21:21,262.36,华远软件信息有限公司物联网,广西壮族自治区春梅县花溪广州路a座 486942,萍县,宁夏回族自治区,184395,中国,华远软件信息有限公司物联网,赵,英,韵达快递,Order
77,2024-01-23 18:19:44,2024-01-26 18:19:44,2024-01-28 18:19:44,357.15,易动力信息有限公司网络安全,安徽省鑫县安次沈路E座 282516,齐齐哈尔市,内蒙古自治区,941241,中国,易动力信息有限公司网络安全,赵,英,韵达快递,Order
78,2024-10-18 22:54:49,2024-10-21 22:54:49,2024-10-19 22:54:49,334.17,迪摩网络有限公司虚拟现实,海南省丹市翔安卢路u座 282145,敏市,河北省,269641,中国,迪摩网络有限公司虚拟现实,赵,英,邮政EMS,Order
